Название;Диаметр(Или иная величина);Абраз;Метал;Текстильная;Полировальной пасты
Обдирочно-шлифовальные станки (Vраб = 30 м/с)  ;100;0.6200000;0.9600000;;
Обдирочно-шлифовальные станки (Vраб = 30 м/с)  ;125;1.0600000;1.5900000;;
Обдирочно-шлифовальные станки (Vраб = 50 м/с)  ;100;1.4600000;2.1900000;;
Обдирочно-шлифовальные станки (Vраб = 50 м/с)  ;125;1.9200000;2.8800000;;
Круглошлифовальные станки  ;100;0.0100000;0.0180000;;
Круглошлифовальные станки  ;150;0.0130000;0.0200000;;
Круглошлифовальные станки  ;300;0.0170000;0.0260000;;
Круглошлифовальные станки  ;350;0.0180000;0.0290000;;
Круглошлифовальные станки  ;400;0.0200000;0.0300000;;
Круглошлифовальные станки  ;600;0.0260000;0.0390000;;
Круглошлифовальные станки  ;750;0.0300000;0.0450000;;
Круглошлифовальные станки  ;900;0.0340000;0.0520000;;
Плоскошлифовальные станки  ;175;0.0140000;0.0220000;;
Плоскошлифовальные станки  ;250;0.0160000;0.0260000;;
Плоскошлифовальные станки  ;350;0.0200000;0.0300000;;
Плоскошлифовальные станки  ;400;0.0220000;0.0330000;;
Плоскошлифовальные станки  ;450;0.0230000;0.0360000;;
Плоскошлифовальные станки  ;500;0.0250000;0.0380000;;
Бесцентрошлифовальные станки  ; 30, 100  ;0.0050000;0.0080000;;
Бесцентрошлифовальные станки  ; 395, 500  ;0.0060000;0.0130000;;
Бесцентрошлифовальные станки  ; 480, 600  ;0.0090000;0.0160000;;
Зубошлифовальные и резьбошлифовальные станки  ;75-200;0.0050000;0.0080000;;
Зубошлифовальные и резьбошлифовальные станки  ; 200 - 400  ;0.0070000;0.0110000;;
Внутришлифовальные станки  ; 5 - 20  ;0.0030000;0.0050000;;
Внутришлифовальные станки  ; 20 - 50  ;0.0050000;0.0080000;;
Внутришлифовальные станки  ; 50 - 80  ;0.0060000;0.0100000;;
Внутришлифовальные станки  ; 80 - 150  ;0.0100000;0.0140000;;
Внутришлифовальные станки  ; 150 - 200  ;0.0120000;0.0180000;;
Полировальные станки с войлочным кругом  ;100;;0.0002600;;
Полировальные станки с войлочным кругом  ;200;;0.0003800;;
Полировальные станки с войлочным кругом  ;300;;0.0005400;;
Полировальные станки с войлочным кругом  ;400;;0.0007800;;
Полировальные станки с войлочным кругом  ;500;;0.0010000;;
Полировальные станки с войлочным кругом  ;600;;0.0012600;;
Заточные станки  ;100;0.0040000;0.0060000;;
Заточные станки  ;150;0.0060000;0.0080000;;
Заточные станки  ;200;0.0080000;0.0120000;;
Заточные станки  ;250;0.0110000;0.0160000;;
Заточные станки  ;300;0.0130000;0.0210000;;
Заточные станки  ;350;0.0160000;0.0240000;;
Заточные станки  ;400;0.0190000;0.0290000;;
Заточные станки  ;450;0.0220000;0.0320000;;
Заточные станки  ;500;0.0240000;0.0360000;;
Заточные станки  ;550;0.0270000;0.0400000;;
Заточные станки с алмазным кругом  ;100;0.002;0.005;;
Заточные станки с алмазным кругом  ;150;0.003;0.007;;
Заточные станки с алмазным кругом  ;200;0.0050000;0.011;;
Заточные станки с алмазным кругом  ;250;0.006;0.014;;
Заточные станки с алмазным кругом  ;300;0.0070000;0.017;;
Заточные станки с алмазным кругом  ;350;0.009;0.021;;
Заточные станки с алмазным кругом  ;400;0.0110000;0.025;;
Заточные станки с алмазным кругом  ;450;0.012;0.028;;
Заточные станки с алмазным кругом  ;500;0.0140000;0.032;;
Заточные станки с алмазным кругом  ;550;0.015;0.035;;
Отрезные станки (сталь)  ;  ;;0.2030000;;
Крацевальные станки (сталь)  ;  ;;0.0970000;;
Сверлильные станки (феррадо)  ;  ;;0.0070000;0.0313000;
Станки полировальные с матерчатыми кругами с применением пасты ГОИ  ;450;;0.0782500;0.2038400;
Шлифмашины SUMAKE ST  ;;;0.1260000;;
Шлифмашины GWS Profession 1000/1100/1400 Bosch  ;;;0.0750000;;
Шлифмашины GWS Profession 20-230H/20-230 JH Bosch  ;;;0.0415000;;
